mic1,mic2,mic3,mic4
-40,72,-56,-88
-30,64,-78,-118
-64,56,-60,-104
-30,76,-74,-120
-52,70,-66,-84
-36,70,-80,-114
-42,72,-52,-116
-34,54,-74,-102
-22,68,-78,-88
-46,64,-76,-94
-34,88,-46,-110
-38,66,-74,-96
-20,74,-76,-100
-34,72,-74,-100
-10,56,-68,-116
-36,50,-88,-98
-26,78,-70,-90
-20,76,-60,-90
-24,82,-62,-100
-24,58,-52,-70
-40,56,-74,-66
-34,72,-48,-94
-42,76,-90,-100
-38,56,-66,-90
-36,94,-82,-84
-34,64,-48,-94
-52,86,-54,-102
-44,88,-68,-114
-12,70,-68,-94
-30,74,-72,-120
-28,66,-70,-106
-12,76,-68,-100
-40,58,-60,-86
-24,76,-68,-92
-38,74,-56,-100
-30,68,-52,-60
-22,82,-64,-90
-52,80,-74,-98
-18,92,-74,-84
-18,72,-78,-94
-44,92,-54,-78
-28,70,-48,-74
-22,70,-84,-90
-36,58,-56,-98
-24,76,-96,-90
-32,84,-56,-76
-22,68,-62,-82
-50,66,-74,-98
-36,84,-52,-66
-16,90,-62,-70
-28,54,-60,-88
-26,92,-64,-88
-28,86,-50,-88
-18,68,-76,-108
-34,88,-76,-106
-30,82,-68,-90
-22,66,-68,-86
-16,82,-74,-98
-48,80,-68,-82
-32,82,-48,-114
-14,82,-42,-110
-16,46,-64,-96
-10,74,-56,-74
-26,92,-76,-92
-30,98,-58,-80
-26,70,-74,-74
-36,88,-68,-104
-22,70,-58,-82
-8,92,-72,-90
-16,58,-76,-74
-36,50,-94,-66
-20,68,-68,-106
-50,86,-78,-76
-44,82,-78,-72
-50,72,-72,-122
-26,74,-44,-112
-12,66,-64,-96
-14,64,-42,-66
-48,42,-70,-94
-34,78,-68,-114
-26,70,-48,-102
-68,70,-62,-116
-2,62,-68,-94
-32,84,-76,-80
-38,64,-46,-84
-50,82,-98,-102
-26,56,-86,-120
-30,68,-80,-108
-26,58,-92,-86
-30,70,-60,-100
-36,72,-44,-98
-60,76,-68,-118
-50,82,-84,-78
-24,70,-54,-80
-36,74,-66,-112
-50,86,-50,-108
-22,68,-58,-96
-14,74,-70,-72
-20,66,-56,-124
-32,78,-82,-76
-36,76,-66,-70
-50,74,-64,-124
-42,68,-70,-70
-32,70,-74,-94
-50,60,-62,-120
-8,98,-84,-90
-42,88,-68,-86
-36,52,-64,-72
-42,88,-92,-84
-36,70,-68,-86
-20,84,-76,-104
-14,68,-100,-100
-56,64,-82,-72
-10,80,-58,-88
-38,76,-58,-84
-54,84,-66,-98
-20,76,-72,-82
-30,72,-42,-88
-14,80,-42,-80
-30,82,-78,-96
-30,74,-78,-60
-18,88,-78,-90
-40,74,-68,-100
-38,98,-80,-90
-14,62,-84,-118
-16,72,-78,-84
-14,70,-88,-102
-24,84,-60,-76
-28,44,-50,-92
-50,64,-58,-74
-42,70,-52,-86
-32,76,-56,-82
-18,102,-80,-94
-44,68,-36,-106
-8,76,-88,-58
14,84,-92,-78
-30,60,-86,-82
-54,80,-60,-82
-20,74,-64,-90
-52,92,-78,-102
-20,76,-78,-78
-30,80,-64,-78
-24,92,-90,-72
-32,90,-54,-78
-22,82,-72,-58
-22,108,-52,-122
-40,88,-56,-90
-24,110,-58,-114
-6,74,-66,-108
-22,74,-54,-86
-60,76,-68,-102
-44,72,-42,-126
-16,66,-54,-102
-50,60,-72,-130
-20,94,-58,-130
-20,76,-64,-132
-52,68,-56,-120
-52,76,-78,-102
-34,58,-66,-98
-30,68,-82,-94
-68,70,-72,-108
-54,62,-42,-90
-50,62,-84,-116
-28,68,-66,-124
-6,46,-64,-120
-46,42,-84,-102
-20,74,-76,-106
-12,50,-76,-90
-40,58,-76,-96
-48,76,-84,-124
-14,94,-54,-132
-36,74,-62,-86
-36,58,-56,-78
-44,92,-64,-86
-54,84,-80,-104
-30,76,-76,-94
-30,92,-92,-90
-46,72,-68,-106
-38,84,-64,-106
-26,76,-84,-94
-28,62,-72,-96
-18,84,-92,-94
-30,72,-46,-90
-20,98,-72,-94
-62,96,-60,-94
-40,88,-52,-100
-60,78,-58,-90
-38,96,-82,-100
-26,70,-56,-106
-32,42,-68,-84
-46,94,-70,-92
-64,44,-54,-92
-38,78,-72,-94
-52,84,-92,-112
-34,72,-60,-96
-44,74,-68,-110
-40,82,-70,-108
-38,72,-70,-78
-30,70,-78,-78
-62,98,-82,-78
-62,78,-66,-92
-54,92,-84,-68
-46,82,-62,-72
-14,70,-78,-64
-26,92,-68,-114
-44,74,-62,-86
-32,84,-72,-88
-22,64,-96,-84
-34,90,-54,-106
-72,62,-36,-90
-38,68,-60,-80
-36,112,-66,-116
-30,76,-44,-86
-24,80,-64,-68
-28,78,-42,-40
-38,76,-86,-58
-36,78,-70,-56
-50,90,-56,-64
-32,88,-60,-62
-56,108,-50,-62
-36,110,-72,-86
-26,94,-44,-90
-32,74,-38,-50
-18,90,-56,-72
-32,100,-70,-60
-26,76,-66,-48
0,68,-54,-46
-28,90,-64,-48
-32,82,-50,-46
-32,82,-86,-62
-48,92,-52,-60
-12,88,-72,-58
-28,94,-56,-48
-38,70,-54,-50
-38,90,-44,-8
-24,104,-54,24
-44,74,-34,-106
-44,72,-60,76
-40,90,-64,76
-28,90,-64,38
-58,104,-80,32
-12,82,-78,52
-38,100,-64,64
0,112,-74,92
-42,86,-58,56
-20,74,-52,88
-14,104,-60,62
-16,68,-66,12
8,96,-52,68
-10,88,-50,46
18,104,-54,50
-4,100,-32,56
6,94,-44,28
-20,118,-74,44
-36,86,-56,42
-36,98,-40,2
-4,122,-54,20
-4,94,-60,18
-48,104,-42,4
-40,96,-46,12
-52,84,-80,22
-56,72,-56,-28
-30,88,-82,16
-30,90,-80,-40
-20,94,-60,20
-12,90,-72,56
-20,102,-66,0
-48,68,-42,38
-20,84,-60,-10
-26,98,-42,38
16,104,-46,-12
6,86,-56,22
-26,96,-60,40
14,60,-64,2
-34,92,-58,28
-18,90,-72,4
-22,62,-44,-6
-34,92,-44,26
6,102,-68,-28
-14,88,-58,-12
-12,106,-36,-26
-26,78,-30,-40
-14,82,-72,-24
-30,74,-60,-32
-36,92,-60,-20
-32,94,-76,-54
-52,98,-72,-46
-26,72,-56,-4
-18,86,-60,-42
-38,66,-58,-66
-24,78,-74,-44
-38,52,-64,-30
-40,60,-94,-24
-26,86,-48,-32
-38,82,-72,-28
-20,76,-82,-40
-44,70,-60,-52
-38,94,-54,-80
-16,78,-74,-90
-44,78,-80,-2
4,62,-90,-76
-10,110,-74,12
-34,70,-86,-106
-30,66,-60,-158
-14,86,-82,-40
-42,62,-68,-134
-42,52,-64,-128
-26,54,-78,-114
-42,56,-76,-90
-2,54,-66,-114
-24,48,-66,-70
-38,92,-84,-58
-20,82,-74,-136
-38,72,-90,-16
-12,84,-68,-118
-62,66,-72,-140
-30,78,-66,-78
-22,80,-98,-62
-16,78,-44,-74
-28,58,-98,-124
-8,82,-58,-136
0,80,-78,-88
-30,80,-54,-138
-48,80,-44,-120
-12,76,-48,-32
-36,72,-66,-216
-14,64,-90,-116
-28,76,-54,-162
-36,54,-66,-56
-30,80,-50,-74
-30,76,-54,-136
-16,98,-48,-46
-32,60,-40,-60
-38,60,-64,-76
-18,84,-58,-64
-42,64,-46,-136
-32,104,-60,-150
-32,64,-78,-144
12,66,-80,-142
-14,80,-72,-14
0,56,-76,-46
-6,86,-78,-42
-8,70,-66,-146
-32,58,-78,-94
-26,70,-62,-52
-22,60,-74,-220
-50,66,-34,-62
-8,70,-64,-136
-24,66,-60,-236
-12,68,-54,-2
6,72,-66,-106
-20,74,-52,-154
-30,58,-48,-178
-20,90,-46,-36
0,84,-50,-168
-34,72,-86,-182
-2,40,-72,-154
-10,68,-60,-22
-44,52,-70,-180
-34,60,-56,-166
-20,84,-92,-102
-36,74,-40,-126
-28,36,-70,-68
10,84,-48,-104
-36,86,-54,-52
2,52,-94,-252
4,78,-54,-32
0,68,-74,-256
-48,62,-64,-210
-14,68,-76,-84
2,48,-56,-224
-20,74,-54,-154
10,66,-44,-120
-22,60,-78,12
-34,84,-40,-332
-32,60,-44,-260
-14,70,-52,22
16,62,-42,-356
-30,62,-60,-152
0,50,-20,12
-22,98,-72,-274
-28,62,-92,-136
-14,82,-72,-60
-24,98,-70,-222
-56,76,-80,-76
12,46,-82,-136
18,86,-52,-70
-16,58,-56,-110
14,42,-76,-94
16,104,-86,-154
-12,30,-62,-62
-50,94,-46,-318
10,84,-66,-70
8,86,-58,-248
18,86,-64,-270
-40,42,-46,-8
-16,90,-70,-134
46,100,-62,-138
0,76,-62,-194
-18,54,-82,-160
10,28,-76,-72
-40,66,-64,-138
-40,86,-62,-310
36,126,-88,-80
-6,90,-62,-256
20,82,-64,-212
30,52,-56,28
0,80,-56,-416
20,56,-56,-176
48,40,-38,-96
-22,98,-72,-124
20,90,-66,-22
2,6,-42,-246
0,86,-54,-16
50,48,-46,-82
-16,20,-20,-132
10,120,-58,-134
58,86,-60,-326
-40,120,-34,118
62,42,-54,-194
104,34,-44,-28
28,46,-10,-238
18,50,-40,-206
12,160,-40,-430
12,52,-40,-14
92,60,-74,-100
70,102,-28,-290
52,-18,-26,168
36,52,-46,32
70,82,-12,6
24,88,-84,-26
-20,102,-54,-356
28,46,-68,-20
6,22,-30,-44
68,82,-34,-476
124,142,-86,106
70,42,-52,-316
70,120,-52,4
108,78,-12,-284
6,96,-44,-218
106,46,-56,132
86,86,6,-870
88,54,-40,36
166,206,-6,44
204,66,-42,-350
140,134,-22,28
126,-70,-10,-10
34,92,-50,-618
86,20,-12,4
80,160,-34,-296
68,134,-48,-302
178,8,-42,174
-46,28,10,230
210,138,-40,-834
46,92,18,-202
60,134,52,84
214,174,-22,-380
204,82,-6,-778
246,160,50,-352
218,8,30,88
516,168,66,-612
140,74,28,-198
296,170,42,-254
292,30,44,-912
184,172,80,190
222,-124,-16,-316
-10,-2,20,-92
480,46,-48,-376
128,106,56,-124
206,148,4,-114
276,-62,24,-152
394,210,0,-6
282,40,-80,-370
194,118,-8,-282
174,88,106,-512
242,130,-46,-76
182,158,-4,-34
214,92,22,-600
194,226,34,-548
146,122,78,-556
204,150,20,-266
164,118,24,-342
242,52,48,-536
212,182,-16,-238
164,104,32,-680
138,48,10,-318
118,48,-60,-544
210,134,-46,-612
188,104,-44,-396
124,36,8,-582
138,30,-36,-322
102,74,12,-576
96,70,30,-446
132,96,-2,-522
162,138,-44,-654
152,12,4,-428
84,66,-56,-494
148,62,-24,-540
134,92,-24,-466
110,70,-54,-452
144,94,-24,-506
136,86,-28,-456
130,56,12,-476
128,74,-34,-490
124,50,-38,-434
154,60,-40,-560
146,66,-40,-582
126,88,-26,-470
180,76,-68,-582
174,38,-34,-494
172,118,-26,-510
184,82,-24,-516
184,70,20,-558
160,66,-24,-500
176,50,-30,-596
180,110,4,-582
162,76,-12,-512
138,40,-54,-618
172,104,-4,-580
182,72,-52,-592
162,54,-38,-582
144,70,-32,-546
140,52,-62,-628
170,36,-6,-652
146,108,-32,-626
174,52,-36,-582
162,54,-64,-624
176,64,-62,-532
182,64,-34,-522
182,56,-54,-512
164,54,-26,-564
144,68,-24,-534
